2018-10-26 16:53:39.1587 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 16:53:39.7212 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач відсутній.
2018-10-26 17:56:06.3521 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 26.10.2018 17:56:06
2018-10-26 17:56:06.5466 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 17:56:06.5466 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 17:56:07.1847 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач відсутній.
2018-10-26 17:56:19.9494 | TRACE | Transliteration.ViewModels.SignInViewModel | User go to Sign Up page.
2018-10-26 17:56:41.6051 | INFO | Transliteration.ViewModels.SignUpViewModel | User try to Sign up.
2018-10-26 17:56:41.6051 | INFO | Transliteration.ViewModels.SignUpViewModel | User try to Sign up.
2018-10-26 17:56:41.6221 | INFO | Transliteration.ViewModels.SignUpViewModel | Try to add new user.
2018-10-26 17:56:41.6221 | INFO | Transliteration.ViewModels.SignUpViewModel | Try to add new user.
2018-10-26 17:56:46.0520 | TRACE | Transliteration.ViewModels.TranslitViewModels | User ask DB for own translits.
2018-10-26 17:56:46.0520 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of Translits property.
2018-10-26 17:56:46.0640 | TRACE | Transliteration.ViewModels.TranslitViewModels | DB answer successful for asking about current user translits.
2018-10-26 17:56:49.5669 | TRACE | Transliteration.ViewModels.TranslitViewModels | User want to log out.
2018-10-26 17:56:49.5669 | TRACE | Transliteration.ViewModels.TranslitViewModels | Clear current user for auto login.
2018-10-26 17:56:49.5778 | TRACE | Transliteration.ViewModels.TranslitViewModels | Now another user can Sign In.
2018-10-26 17:57:01.7831 | INFO | Transliteration.ViewModels.SignInViewModel | Such user doesn't exist in DB.
2018-10-26 17:57:01.7831 | INFO | Transliteration.ViewModels.SignInViewModel | Such user doesn't exist in DB.
2018-10-26 17:57:30.1256 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 26.10.2018 17:57:30
